id_municipio_tjsp,municipio_tjsp
6504,Adamantina
6505,Adolfo
6506,Aguaí
6511,Agudos
6512,Alambari
6513,Alfredo Marcondes
6514,Altair
6515,Altinópolis
6516,Alto Alegre
6517,Alumínio
6521,Alvinlândia
6522,Americana
6523,Américo Brasiliense
6524,Américo de Campos
6525,Amparo
6526,Analândia
6527,Andradina
6528,Angatuba
6529,Anhembi
6530,Anhumas
6531,Aparecida
6532,Aparecida d'Oeste
6533,Apiaí
6534,Araçariguama
6535,Araçatuba
6536,Araçoiaba da Serra
6537,Aramina
6538,Arandu
6539,Arapeí
6540,Araraquara
6541,Araras
6542,Arco-Íris
6543,Arealva
6544,Areias
6545,Areiópolis
6546,Ariranha
6547,Artur Nogueira
6548,Arujá
6549,Aspásia
6550,Assis
6551,Atibaia
6552,Auriflama
6553,Avaí
6554,Avanhandava
6555,Avaré
6507,Águas da Prata
6508,Águas de Lindóia
6509,Águas de Santa Bárbara
6510,Águas de São Pedro
6518,Álvares Florence
6519,Álvares Machado
6520,Álvaro de Carvalho
6556,Bady Bassitt
6557,Balbinos
6559,Bananal
6560,Barão de Antonina
6561,Barbosa
6562,Bariri
6563,Barra Bonita
6564,Barra do Chapéu
6565,Barra do Turvo
6566,Barretos
6567,Barrinha
6568,Barueri
6569,Bastos
6570,Batatais
6571,Bauru
6558,Bálsamo
6572,Bebedouro
6573,Bento de Abreu
6574,Bernardino de Campos
6575,Bertioga
6576,Bilac
6577,Birigui
6578,Biritiba-Mirim
6579,Boa Esperança do Sul
6580,Bocaina
6581,Bofete
6582,Boituva
6583,Bom Jesus dos Perdões
6584,Bom Sucesso de Itararé
6586,Boracéia
6585,Borá
6587,Borborema
6588,Borebi
6589,Botucatu
6590,Bragança Paulista
6591,Braúna
6592,Brejo Alegre
6593,Brodowski
6594,Brotas
6595,Buri
6596,Buritama
6597,Buritizal
6598,Cabrália Paulista
6599,Cabreúva
6601,Cachoeira Paulista
6602,Caconde
6600,Caçapava
6603,Cafelândia
6604,Caiabu
6605,Caieiras
6606,Caiuá
6607,Cajamar
6608,Cajati
6609,Cajobi
6610,Cajuru
6611,Campina do Monte Alegre
6612,Campinas
6613,Campo Limpo Paulista
6615,Campos Novos Paulista
6614,Campos do Jordão
6616,Cananéia
6617,Canas
6620,Canitar
6621,Capão Bonito
6622,Capela do Alto
6623,Capivari
6624,Caraguatatuba
6625,Carapicuíba
6626,Cardoso
6627,Casa Branca
6629,Castilho
6630,Catanduva
6631,Catiguá
6628,Cássia dos Coqueiros
6618,Cândido Mota
6619,Cândido Rodrigues
6632,Cedral
6633,Cerqueira César
6634,Cerquilho
6635,Cesário Lange
6636,Charqueada
7147,Chavantes
6637,Clementina
6638,Colina
6639,Colômbia
6640,Conchal
6641,Conchas
6642,Cordeirópolis
6643,Coroados
6644,Coronel Macedo
6645,Corumbataí
6647,Cosmorama
6646,Cosmópolis
6648,Cotia
6649,Cravinhos
6650,Cristais Paulista
6651,Cruzália
6652,Cruzeiro
6653,Cubatão
6654,Cunha
6655,Descalvado
6656,Diadema
6657,Dirce Reis
6658,Divinolândia
6659,Dobrada
6660,Dois Córregos
6661,Dolcinópolis
6662,Dourado
6663,Dracena
6664,Duartina
6665,Dumont
6666,Echaporã
6667,Eldorado
6668,Elias Fausto
6669,Elisiário
6670,Embaúba
6671,Embu das Artes
6672,Embu-Guaçu
6673,Emilianópolis
6674,Engenheiro Coelho
6675,Espírito Santo do Pinhal
6676,Espírito Santo do Turvo
7148,Estiva Gerbi
6677,Estrela dOeste
6678,Estrela do Norte
6679,Euclides da Cunha Paulista
6680,Fartura
6682,Fernando Prestes
6681,Fernandópolis
6683,Fernão
6684,Ferraz de Vasconcelos
6685,Flora Rica
6686,Floreal
6688,Florínia
6687,Flórida Paulista
6689,Franca
6690,Francisco Morato
6691,Franco da Rocha
6692,Gabriel Monteiro
6694,Garça
6695,Gastão Vidigal
6696,Gavião Peixoto
6693,Gália
6697,General Salgado
6698,Getulina
6699,Glicério
6700,Guaiçara
6701,Guaimbê
6702,Guaíra
6703,Guapiaçu
6704,Guapiara
6707,Guaraci
6706,Guaraçaí
6708,Guarani d'Oeste
6709,Guarantã
6710,Guararapes
6711,Guararema
6712,Guaratinguetá
6705,Guará
6713,Guareí
6714,Guariba
6715,Guarujá
6716,Guarulhos
6717,Guatapará
6718,Guzolândia
6719,Herculândia
6720,Holambra
6721,Hortolândia
6722,Iacanga
6723,Iacri
6724,Iaras
6725,Ibaté
6727,Ibirarema
6726,Ibirá
6728,Ibitinga
6729,Ibiúna
6730,Icém
6731,Iepê
6732,Igaraçu do Tietê
6733,Igarapava
6734,Igaratá
6735,Iguape
6737,Ilha Comprida
6738,Ilha Solteira
6736,Ilhabela
6739,Indaiatuba
6740,Indiana
6741,Indiaporã
6742,Inúbia Paulista
6743,Ipaussu
6744,Iperó
6745,Ipeúna
6746,Ipiguá
6747,Iporanga
6748,Ipuã
6749,Iracemápolis
6750,Irapuã
6751,Irapuru
6752,Itaberá
6753,Itaí
6754,Itajobi
6755,Itaju
6756,Itanhaém
6757,Itaóca
6758,Itapecerica da Serra
6759,Itapetininga
6760,Itapeva
6761,Itapevi
6762,Itapira
6763,Itapirapuã Paulista
6765,Itaporanga
6766,Itapuí
6767,Itapura
6768,Itaquaquecetuba
6769,Itararé
6770,Itariri
6771,Itatiba
6772,Itatinga
6764,Itápolis
6773,Itirapina
6774,Itirapuã
6775,Itobi
6776,Itu
6777,Itupeva
6778,Ituverava
6779,Jaborandi
6780,Jaboticabal
6781,Jacareí
6782,Jaci
6783,Jacupiranga
6784,Jaguariúna
6785,Jales
6786,Jambeiro
6787,Jandira
6788,Jardinópolis
6789,Jarinu
6790,Jaú
6791,Jeriquara
6792,Joanópolis
6793,João Ramalho
6794,José Bonifácio
6796,Jumirim
6797,Jundiaí
6798,Junqueirópolis
6799,Juquiá
6800,Juquitiba
6795,Júlio Mesquita
6801,Lagoinha
6802,Laranjal Paulista
6803,Lavínia
6804,Lavrinhas
6805,Leme
6806,Lençóis Paulista
6807,Limeira
6808,Lindóia
6809,Lins
6810,Lorena
6811,Lourdes
6812,Louveira
6813,Lucélia
6814,Lucianópolis
6816,Luiziânia
6815,Luís Antônio
6817,Lupércio
6818,Lutécia
6819,Macatuba
6820,Macaubal
6821,Macedônia
6822,Magda
6823,Mairinque
6824,Mairiporã
6825,Manduri
6826,Marabá Paulista
6827,Maracaí
6828,Marapoama
6829,Mariápolis
6831,Marinópolis
6830,Marília
6832,Martinópolis
6833,Matão
6834,Mauá
6835,Mendonça
6836,Meridiano
6837,Mesópolis
6838,Miguelópolis
6839,Mineiros do Tietê
6841,Mira Estrela
6840,Miracatu
6842,Mirandópolis
6843,Mirante do Paranapanema
6844,Mirassol
6845,Mirassolândia
6846,Mococa
6848,Mogi Guaçu
6849,Mogi Mirim
6847,Mogi das Cruzes
6850,Mombuca
6851,Monções
6852,Mongaguá
6853,Monte Alegre do Sul
6854,Monte Alto
6855,Monte Aprazível
6856,Monte Azul Paulista
6857,Monte Castelo
6859,Monte Mor
6858,Monteiro Lobato
6860,Morro Agudo
6861,Morungaba
6862,Motuca
6863,Murutinga do Sul
6864,Nantes
6865,Narandiba
6866,Natividade da Serra
6867,Nazaré Paulista
6868,Neves Paulista
6869,Nhandeara
6870,Nipoã
6871,Nova Aliança
6872,Nova Campina
6873,Nova Canaã Paulista
6874,Nova Castilho
6875,Nova Europa
6876,Nova Granada
6877,Nova Guataporanga
6878,Nova Independência
6880,Nova Luzitânia
6881,Nova Odessa
6879,Novais
6882,Novo Horizonte
6883,Nuporanga
6884,Ocauçu
6886,Olímpia
6887,Onda Verde
6888,Oriente
6889,Orindiúva
6890,Orlândia
6891,Osasco
6892,Oscar Bressane
6893,Osvaldo Cruz
6894,Ourinhos
6896,Ouro Verde
6895,Ouroeste
6885,Óleo
6897,Pacaembu
6898,Palestina
6899,Palmares Paulista
6900,Palmeira d'Oeste
6901,Palmital
6902,Panorama
6903,Paraguaçu Paulista
6904,Paraibuna
6905,Paraíso
6906,Paranapanema
6907,Paranapuã
6908,Parapuã
6909,Pardinho
6910,Pariquera-Açu
6911,Parisi
6912,Patrocínio Paulista
6913,Paulicéia
6915,Paulistânia
6914,Paulínia
6916,Paulo de Faria
6917,Pederneiras
6918,Pedra Bela
6919,Pedranópolis
6920,Pedregulho
6921,Pedreira
6922,Pedrinhas Paulista
6923,Pedro de Toledo
6924,Penápolis
6925,Pereira Barreto
6926,Pereiras
6927,Peruíbe
6928,Piacatu
6929,Piedade
6930,Pilar do Sul
6931,Pindamonhangaba
6932,Pindorama
6933,Pinhalzinho
6934,Piquerobi
6935,Piquete
6936,Piracaia
6937,Piracicaba
6938,Piraju
6939,Pirajuí
6940,Pirangi
6941,Pirapora do Bom Jesus
6942,Pirapozinho
6943,Pirassununga
6944,Piratininga
6945,Pitangueiras
6946,Planalto
6947,Platina
6948,Poá
6949,Poloni
6950,Pompéia
6951,Pongaí
6952,Pontal
6953,Pontalinda
6954,Pontes Gestal
6955,Populina
6956,Porangaba
6957,Porto Feliz
6958,Porto Ferreira
6959,Potim
6960,Potirendaba
6961,Pracinha
6962,Pradópolis
6963,Praia Grande
6964,Pratânia
6965,Presidente Alves
6966,Presidente Bernardes
6967,Presidente Epitácio
6968,Presidente Prudente
6969,Presidente Venceslau
6970,Promissão
6971,Quadra
6972,Quatá
6973,Queiroz
6974,Queluz
6975,Quintana
6976,Rafard
6977,Rancharia
6978,Redenção da Serra
6979,Regente Feijó
6980,Reginópolis
6981,Registro
6982,Restinga
6983,Ribeira
6984,Ribeirão Bonito
6985,Ribeirão Branco
6986,Ribeirão Corrente
6989,Ribeirão Grande
6990,Ribeirão Pires
6991,Ribeirão Preto
6987,Ribeirão do Sul
6988,Ribeirão dos Índios
6993,Rifaina
6994,Rincão
6995,Rinópolis
6996,Rio Claro
6998,Rio Grande da Serra
6997,Rio das Pedras
6999,Riolândia
6992,Riversul
7000,Rosana
7001,Roseira
7002,Rubiácea
7003,Rubinéia
7004,Sabino
7005,Sagres
7006,Sales
7007,Sales Oliveira
7008,Salesópolis
7009,Salmourão
7010,Saltinho
7011,Salto
7013,Salto Grande
7012,Salto de Pirapora
7014,Sandovalina
7015,Santa Adélia
7016,Santa Albertina
7017,Santa Bárbara d'Oeste
7018,Santa Branca
7019,Santa Clara d'Oeste
7020,Santa Cruz da Conceição
7021,Santa Cruz da Esperança
7022,Santa Cruz das Palmeiras
7023,Santa Cruz do Rio Pardo
7024,Santa Ernestina
7025,Santa Fé do Sul
7026,Santa Gertrudes
7027,Santa Isabel
7028,Santa Lúcia
7029,Santa Maria da Serra
7030,Santa Mercedes
7033,Santa Rita d'Oeste
7034,Santa Rita do Passa Quatro
7035,Santa Rosa de Viterbo
7036,Santa Salete
7031,Santana da Ponte Pensa
7032,Santana de Parnaíba
7037,Santo Anastácio
7038,Santo André
7039,Santo Antônio da Alegria
7040,Santo Antônio de Posse
7041,Santo Antônio do Aracanguá
7042,Santo Antônio do Jardim
7043,Santo Antônio do Pinhal
7044,Santo Expedito
7046,Santos
7045,Santópolis do Aguapeí
7074,Sarapuí
7075,Sarutaiá
7047,São Bento do Sapucaí
7048,São Bernardo do Campo
7049,São Caetano do Sul
7050,São Carlos
7051,São Francisco
7056,São Joaquim da Barra
7052,São João da Boa Vista
7053,São João das Duas Pontes
7054,São João de Iracema
7055,São João do Pau d'Alho
7057,São José da Bela Vista
7058,São José do Barreiro
7059,São José do Rio Pardo
7060,São José do Rio Preto
7061,São José dos Campos
7062,São Lourenço da Serra
7063,São Luiz do Paraitinga
7064,São Manuel
7065,São Miguel Arcanjo
7066,São Paulo
7067,São Pedro
7068,São Pedro do Turvo
7069,São Roque
7070,São Sebastião
7071,São Sebastião da Grama
7072,São Simão
7073,São Vicente
7076,Sebastianópolis do Sul
7077,Serra Azul
7079,Serra Negra
7078,Serrana
7080,Sertãozinho
7081,Sete Barras
7082,Severínia
7083,Silveiras
7084,Socorro
7085,Sorocaba
7086,Sud Mennucci
7087,Sumaré
7089,Suzanápolis
7088,Suzano
7090,Tabapuã
7091,Tabatinga
7092,Taboão da Serra
7093,Taciba
7094,Taguaí
7095,Taiaçu
7096,Taiúva
7097,Tambaú
7098,Tanabi
7099,Tapiraí
7100,Tapiratiba
7101,Taquaral
7102,Taquaritinga
7103,Taquarituba
7104,Taquarivaí
7105,Tarabai
7106,Tarumã
7107,Tatuí
7108,Taubaté
7109,Tejupá
7110,Teodoro Sampaio
7111,Terra Roxa
7112,Tietê
7113,Timburi
7114,Torre de Pedra
7115,Torrinha
7116,Trabiju
7117,Tremembé
7118,Três Fronteiras
7119,Tuiuti
7120,Tupã
7121,Tupi Paulista
7122,Turiúba
7123,Turmalina
7124,Ubarana
7125,Ubatuba
7126,Ubirajara
7127,Uchoa
7128,União Paulista
7129,Urânia
7130,Uru
7131,Urupês
7132,Valentim Gentil
7133,Valinhos
7134,Valparaíso
7135,Vargem
7137,Vargem Grande Paulista
7136,Vargem Grande do Sul
7138,Várzea Paulista
7139,Vera Cruz
7140,Vinhedo
7141,Viradouro
7142,Vista Alegre do Alto
7143,Vitória Brasil
7144,Votorantim
7145,Votuporanga
7146,Zacarias
