id_municipio_tjsp,raj,comarca_tjsp,unidades,comarca_tjsp_temp
6504,5ª RAJ Presidente Prudente,Adamantina,Fórum I Adamantina,adamantina
6504,5ª RAJ Presidente Prudente,Adamantina,Fórum II Adamantina (Residência Oficial),adamantina
6504,5ª RAJ Presidente Prudente,Adamantina,Fórum III Adamantina - UAAJ - FAC. ADAM. INTEGRADAS,adamantina
6506,4ª RAJ Campinas,Aguaí,Comarca de Aguaí,aguai
6511,3ª RAJ Bauru,Agudos,"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS""",agudos
6515,6ª RAJ Ribeirão Preto,Altinópolis,"Fórum ""Desembargador ALFREDO FANUCCHI NETO""",altinopolis
6522,4ª RAJ Campinas,Americana,Fórum Americana,americana
6522,4ª RAJ Campinas,Americana,Fórum Americana (CEJUSC) - UNISAL,americana
6523,6ª RAJ Ribeirão Preto,Américo Brasiliense,Fórum Américo Brasiliense,americo brasiliense
6525,4ª RAJ Campinas,Amparo,Fórum Dr. Laudo Ferreira de Camargo,amparo
6525,4ª RAJ Campinas,Amparo,Setor das Execuções Fiscais e Setor Técnico Psicossocial,amparo
6525,4ª RAJ Campinas,Amparo,"Juizado Especial Cível e Crim., Colégio Recursal e CEJUSC",amparo
6527,2ª RAJ Araçatuba,Andradina,Fórum Andradina I (Homero Rodrigues Silva),andradina
6527,2ª RAJ Araçatuba,Andradina,Fórum Andradina III - Anexo de Violência Doméstica e Familiar Contra a Mulher,andradina
6527,2ª RAJ Araçatuba,Andradina,Fórum Andradina V - Anexo do Juizado de Andradina - UAAJ - CASTILHO,andradina
6528,10ª RAJ Sorocaba,Angatuba,Fórum I Angatuba,angatuba
6528,10ª RAJ Sorocaba,Angatuba,Fórum II Angatuba (Residência Oficial),angatuba
6531,9ª RAJ São José dos Campos,Aparecida,Fórum Aparecida,aparecida
6533,10ª RAJ Sorocaba,Apiaí,Fórum Apiaí - Des. Déscio Mendes Pereira,apiai
6535,2ª RAJ Araçatuba,Araçatuba,Fórum Araçatuba I - PRINCIPAL,aracatuba
6535,2ª RAJ Araçatuba,Araçatuba,Forum Araçatuba V - Serviço de Atendimento Psicossocial,aracatuba
6540,6ª RAJ Ribeirão Preto,Araraquara,Fórum Juiz Macedo Couto,araraquara
6540,6ª RAJ Ribeirão Preto,Araraquara,Fórum Araraquara III - (CEJUSC),araraquara
6541,4ª RAJ Campinas,Araras,Fórum Araras - (Des.Manoel Carlos  da Costa Leite),araras
6541,4ª RAJ Campinas,Araras,Forum Araras II - ANEXO FISCAL,araras
6541,4ª RAJ Campinas,Araras,Fórum Araras III (CEJUSC na Universidade de Araras - UNAR),araras
6541,4ª RAJ Campinas,Araras,Fórum Araras IV (CEJUSC),araras
6541,4ª RAJ Campinas,Araras,Fórum Araras V - (Anexo da Violência Doméstica),araras
6547,4ª RAJ Campinas,Artur Nogueira,Fórum Artur Nogueira,artur nogueira
6547,4ª RAJ Campinas,Artur Nogueira,Fórum Artur Nogueira (CEJUSC),artur nogueira
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Fernando de Albuquerque Prado,aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá II,aruja
6548,1ª RAJ Grande São Paulo,Arujá,Forum Arujá III (Setor Técnico),aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá IV - Execuções Fiscais,aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá V (Salão do Júri),aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá VI - Juizado Especial Cível e Criminal,aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá VII - Deposito de Material e Arquivo de Processos,aruja
6548,1ª RAJ Grande São Paulo,Arujá,Fórum Arujá VIII - Cejusc,aruja
6550,5ª RAJ Presidente Prudente,Assis,Fórum Assis I - Dr. José Claudino de Oliveira Dias,assis
6551,4ª RAJ Campinas,Atibaia,CEJUSC Atibaia,atibaia
6551,4ª RAJ Campinas,Atibaia,"Fórum ""Dr. Álvaro Correia Lima""",atibaia
6552,2ª RAJ Araçatuba,Auriflama,Fórum Auriflama - (Ministro Domingos Franciulli Neto),auriflama
6555,3ª RAJ Bauru,Avaré,Fórum Avaré - I,avare
6555,3ª RAJ Bauru,Avaré,Fórum Avaré - II (CEJUSC),avare
6508,4ª RAJ Campinas,Águas de Lindóia,Fórum Águas de Lindóia,aguas de lindoia
6508,4ª RAJ Campinas,Águas de Lindóia,Fórum Águas de Lindóia (J.E.CÍVEL e Criminal),aguas de lindoia
6559,9ª RAJ São José dos Campos,Bananal,DR JOSÉ RANGEL DE ALMEIDA,bananal
6562,3ª RAJ Bauru,Bariri,"FORUM ""DR. JOAQUIM FERNANDO PAES DE BARROS NETTO""",bariri
6562,3ª RAJ Bauru,Bariri,Fórum Bariri II,bariri
6562,3ª RAJ Bauru,Bariri,Residência Oficial - cedida para Prefeitura Municipal de Bariri-19ª Zona Eleitor,bariri
6563,3ª RAJ Bauru,Barra Bonita,Fórum I Barra Bonita,barra bonita
6563,3ª RAJ Bauru,Barra Bonita,Fórum II Barra Bonita (CEJUSC),barra bonita
6566,8ª RAJ São José do Rio Preto,Barretos,Fórum I Barretos,barretos
6566,8ª RAJ São José do Rio Preto,Barretos,Fórum III Barretos (Anexo do Juizado Especial Cível - UNIFEB),barretos
6568,1ª RAJ Grande São Paulo,Barueri,Fórum Barueri i - (Prédio Novo),barueri
6568,1ª RAJ Grande São Paulo,Barueri,Fórum Barueri II - (CEJUSC),barueri
6569,5ª RAJ Presidente Prudente,Bastos,Foro da Comarca de Bastos,bastos
6570,6ª RAJ Ribeirão Preto,Batatais,Fórum Batatais,batatais
6570,6ª RAJ Ribeirão Preto,Batatais,Fórum Batatais II - Juizado Especial Cível e Criminal,batatais
6570,6ª RAJ Ribeirão Preto,Batatais,Fórum Batatais III - CEJUSC,batatais
6571,3ª RAJ Bauru,Bauru,Fórum Bauru - UPJ 1ª E 2ª VARAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHE,bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru I - (Principal),bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru II - Fazenda Pública e Família e Sucessões,bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru IV - DARAJ - SAS - IMESC - DEECRIM - Aud.Custódia,bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru VII - (Prédio Cedido),bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru VIII - (Prédio Cedido),bauru
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro - Desembargador Adriano Marrey,bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Anexo do Juizado Especial - UNIFAFIBE),bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Juizado Especial),bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Residência Oficial),bebedouro
6575,7ª RAJ Santos,Bertioga,Fórum da Comarca de Bertioga,bertioga
6576,2ª RAJ Araçatuba,Bilac,Fórum Bilac (Residência Oficial),bilac
6576,2ª RAJ Araçatuba,Bilac,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho),bilac
6577,2ª RAJ Araçatuba,Birigui,Fórum I Birigüi,birigui
6577,2ª RAJ Araçatuba,Birigui,Fórum II Birigui (Depósito),birigui
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva I  (Ofícios Judiciais),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva II - (Juizado Especial),boituva
