id_cj,cj_sigla,cj_nome,id_raj
0,Capital,Capital,1
1,1ª CJ,1ª Circunscrição Judiciária,7
2,2ª CJ,2ª Circunscrição Judiciária,1
3,3ª CJ,3ª Circunscrição Judiciária,1
4,4ª CJ,4ª Circunscrição Judiciária,1
5,5ª CJ,5ª Circunscrição Judiciária,4
6,6ª CJ,6ª Circunscrição Judiciária,4
7,7ª CJ,7ª Circunscrição Judiciária,4
8,8ª CJ,8ª Circunscrição Judiciária,4
9,9ª CJ,9ª Circunscrição Judiciária,4
10,10ª CJ,10ª Circunscrição Judiciária,4
11,11ª CJ,11ª Circunscrição Judiciária,4
12,12ª CJ,12ª Circunscrição Judiciária,6
13,13ª CJ,13ª Circunscrição Judiciária,6
14,14ª CJ,14ª Circunscrição Judiciária,8
15,15ª CJ,15ª Circunscrição Judiciária,8
16,16ª CJ,16ª Circunscrição Judiciária,8
17,17ª CJ,17ª Circunscrição Judiciária,8
18,18ª CJ,18ª Circunscrição Judiciária,8
19,19ª CJ,19ª Circunscrição Judiciária,10
20,20ª CJ,20ª Circunscrição Judiciária,10
21,21ª CJ,21ª Circunscrição Judiciária,7
22,22ª CJ,22ª Circunscrição Judiciária,10
23,23ª CJ,23ª Circunscrição Judiciária,3
24,24ª CJ,24ª Circunscrição Judiciária,3
25,25ª CJ,25ª Circunscrição Judiciária,3
26,26ª CJ,26ª Circunscrição Judiciária,5
27,27ª CJ,27ª Circunscrição Judiciária,5
28,28ª CJ,28ª Circunscrição Judiciária,5
29,29ª CJ,29ª Circunscrição Judiciária,5
30,30ª CJ,30ª Circunscrição Judiciária,5
31,31ª CJ,31ª Circunscrição Judiciária,5
32,32ª CJ,32ª Circunscrição Judiciária,3
33,33ª CJ,33ª Circunscrição Judiciária,3
34,34ª CJ,34ª Circunscrição Judiciária,4
35,35ª CJ,35ª Circunscrição Judiciária,2
36,36ª CJ,36ª Circunscrição Judiciária,2
37,37ª CJ,37ª Circunscrição Judiciária,2
38,38ª CJ,38ª Circunscrição Judiciária,6
39,39ª CJ,39ª Circunscrição Judiciária,6
40,40ª CJ,40ª Circunscrição Judiciária,6
41,41ª CJ,41ª Circunscrição Judiciária,6
42,42ª CJ,42ª Circunscrição Judiciária,6
43,43ª CJ,43ª Circunscrição Judiciária,6
44,44ª CJ,44ª Circunscrição Judiciária,1
45,45ª CJ,45ª Circunscrição Judiciária,1
46,46ª CJ,46ª Circunscrição Judiciária,9
47,47ª CJ,47ª Circunscrição Judiciária,9
48,48ª CJ,48ª Circunscrição Judiciária,9
49,49ª CJ,49ª Circunscrição Judiciária,10
50,50ª CJ,50ª Circunscrição Judiciária,4
51,51ª CJ,51ª Circunscrição Judiciária,9
52,52ª CJ,52ª Circunscrição Judiciária,1
53,53ª CJ,53ª Circunscrição Judiciária,4
54,54ª CJ,54ª Circunscrição Judiciária,4
55,55ª CJ,55ª Circunscrição Judiciária,2
56,56ª CJ,56ª Circunscrição Judiciária,7
