id_raj,raj_nome,raj_sigla,raj_regiao,juiz_diretor_nome,juiz_diretor_email
1,1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Fernando Antonio Tasso,daraj1@tjsp.jus.br
2,2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Antonio Fernando Sanches Batagelo,daraj2@tjsp.jus.br
3,3ª RAJ - Bauru,3ª RAJ,Bauru,Gilmar Ferraz Garmes,daraj3@tjsp.jus.br
4,4ª RAJ - Campinas,4ª RAJ,Campinas,Nelson Augusto Bernardes de Souza,daraj4@tjsp.jus.br
5,5ª RAJ - Presidente Prudente,5ª RAJ,Presidente Prudente,José Wagner Parrão Molina,daraj5@tjsp.jus.br
6,6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Reginaldo Siqueira,daraj6@tjsp.jus.br
7,7ª RAJ - Santos,7ª RAJ,Santos,Evandro Renato Pereira,daraj7@tjsp.jus.br
8,8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Tatiana Pereira Viana Santos,daraj8@tjsp.jus.br
9,9ª RAJ - SJ dos Campos,9ª RAJ,SJ dos Campos,Carlos Gutemberg de Santis Cunha,daraj9@tjsp.jus.br
10,10ª RAJ - Sorocaba,10ª RAJ,Sorocaba,Alexandre de Mello Guerra,daraj10@tjsp.jus.br
