id_municipio_tjsp,raj,municipio_tjsp,comarca_tjsp,comarca_sede,imoveis
6510,4ª RAJ Campinas,Águas de São Pedro,São Pedro,0,"Fórum ""Francisco Mendes de Aguiar"""
6522,4ª RAJ Campinas,Americana,Americana,1,Fórum Americana
6522,4ª RAJ Campinas,Americana,Americana,1,Fórum Americana (CEJUSC) - UNISAL
6511,3ª RAJ Bauru,Agudos,Agudos,1,"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS"""
6509,3ª RAJ Bauru,Águas de Santa Bárbara,Cerqueira César,0,Fórum Cerqueira César
6524,8ª RAJ São José do Rio Preto,Américo de Campos,Tanabi,0,Fórum Dr. Acrísio Pires Domingues
6524,8ª RAJ São José do Rio Preto,Américo de Campos,Tanabi,0,Fórum Tanabi (Juizado Especial Cível e Criminal)
6505,8ª RAJ São José do Rio Preto,Adolfo,José Bonifácio,0,Fórum José Bonifácio - II (CEJUSC)
6505,8ª RAJ São José do Rio Preto,Adolfo,José Bonifácio,0,Fórum José Bonifácio I (Principal)
6515,6ª RAJ Ribeirão Preto,Altinópolis,Altinópolis,1,"Fórum ""Desembargador ALFREDO FANUCCHI NETO"""
6507,4ª RAJ Campinas,Águas da Prata,São João da Boa Vista,0,Cartório Anexo do Juizado Especial Cível - UNIFEOB.
6507,4ª RAJ Campinas,Águas da Prata,São João da Boa Vista,0,Fórum I Dr. Plínio Barreto
6520,5ª RAJ Presidente Prudente,Álvaro de Carvalho,Garça,0,Fórum I Garça
6520,5ª RAJ Presidente Prudente,Álvaro de Carvalho,Garça,0,Fórum II Garça (CEJUSC)
6504,5ª RAJ Presidente Prudente,Adamantina,Adamantina,1,Fórum I Adamantina
6504,5ª RAJ Presidente Prudente,Adamantina,Adamantina,1,Fórum II Adamantina (Residência Oficial)
6504,5ª RAJ Presidente Prudente,Adamantina,Adamantina,1,Fórum III Adamantina - UAAJ - FAC. ADAM. INTEGRADAS
6517,10ª RAJ Sorocaba,Alumínio,Mairinque,0,Fórum Mairinque
6516,2ª RAJ Araçatuba,Alto Alegre,Penápolis,0,Fórum Penápolis I -
6516,2ª RAJ Araçatuba,Alto Alegre,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
6506,4ª RAJ Campinas,Aguaí,Aguaí,1,Comarca de Aguaí
6521,5ª RAJ Presidente Prudente,Alvinlândia,Garça,0,Fórum I Garça
6521,5ª RAJ Presidente Prudente,Alvinlândia,Garça,0,Fórum II Garça (CEJUSC)
6523,6ª RAJ Ribeirão Preto,Américo Brasiliense,Américo Brasiliense,1,Fórum Américo Brasiliense
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia I - (Principal)
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia II (3ª Vara Cível)
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia III - (Vara do Juizado Especial Cível e Criminal)
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia IV - (Setor das Execuções Fiscais)
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia V - (CEJUSC)
6514,8ª RAJ São José do Rio Preto,Altair,Olímpia,0,Fórum Olímpia VI - (Anexo do JEC - UAAJ - CAJOBI)
6518,8ª RAJ São José do Rio Preto,Álvares Florence,Votuporanga,0,Fórum Votuporanga I
6518,8ª RAJ São José do Rio Preto,Álvares Florence,Votuporanga,0,Fórum Votuporanga II - (Anexo Fiscal)
6518,8ª RAJ São José do Rio Preto,Álvares Florence,Votuporanga,0,Fórum Votuporanga III - (CEJUSC)
6508,4ª RAJ Campinas,Águas de Lindóia,Águas de Lindóia,1,Fórum Águas de Lindóia
6508,4ª RAJ Campinas,Águas de Lindóia,Águas de Lindóia,1,Fórum Águas de Lindóia (J.E.CÍVEL e Criminal)
6513,5ª RAJ Presidente Prudente,Alfredo Marcondes,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
6513,5ª RAJ Presidente Prudente,Alfredo Marcondes,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
6519,5ª RAJ Presidente Prudente,Álvares Machado,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
6519,5ª RAJ Presidente Prudente,Álvares Machado,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
6512,10ª RAJ Sorocaba,Alambari,Itapetininga,0,Fórum Itapetininga I - (Desembargador Bernardes Júnior)
6512,10ª RAJ Sorocaba,Alambari,Itapetininga,0,Fórum Itapetininga II (Criminal) Juiz Paulo Rubens Soares Hungria
6525,4ª RAJ Campinas,Amparo,Amparo,1,Fórum Dr. Laudo Ferreira de Camargo
6525,4ª RAJ Campinas,Amparo,Amparo,1,Setor das Execuções Fiscais e Setor Técnico Psicossocial
6525,4ª RAJ Campinas,Amparo,Amparo,1,"Juizado Especial Cível e Crim., Colégio Recursal e CEJUSC"
6527,2ª RAJ Araçatuba,Andradina,Andradina,1,Fórum Andradina I (Homero Rodrigues Silva)
6527,2ª RAJ Araçatuba,Andradina,Andradina,1,Fórum Andradina III - Anexo de Violência Doméstica e Familiar Contra a Mulher
6527,2ª RAJ Araçatuba,Andradina,Andradina,1,Fórum Andradina V - Anexo do Juizado de Andradina - UAAJ - CASTILHO
6529,3ª RAJ Bauru,Anhembi,Conchas,0,Fórum Conchas
6529,3ª RAJ Bauru,Anhembi,Conchas,0,Fórum Conchas III – (Anexo do Juizado - UAAJ - ANHEMBI)
6529,3ª RAJ Bauru,Anhembi,Conchas,0,Fórum Conchas IV – (Anexo do Juizado - UAAJ - PEREIRAS)
6532,2ª RAJ Araçatuba,Aparecida d'Oeste,Palmeira d'Oeste,0,Fórum da Comarca de Palmeira d’Oeste
6528,10ª RAJ Sorocaba,Angatuba,Angatuba,1,Fórum I Angatuba
6528,10ª RAJ Sorocaba,Angatuba,Angatuba,1,Fórum II Angatuba (Residência Oficial)
6526,4ª RAJ Campinas,Analândia,Itirapina,0,Desembargador Lafayette Salles Júnior
6540,6ª RAJ Ribeirão Preto,Araraquara,Araraquara,1,Fórum Juiz Macedo Couto
6540,6ª RAJ Ribeirão Preto,Araraquara,Araraquara,1,Fórum Araraquara III - (CEJUSC)
6530,5ª RAJ Presidente Prudente,Anhumas,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
6530,5ª RAJ Presidente Prudente,Anhumas,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
6534,10ª RAJ Sorocaba,Araçariguama,São Roque,0,Fórum São Roque I
6550,5ª RAJ Presidente Prudente,Assis,Assis,1,Fórum Assis I - Dr. José Claudino de Oliveira Dias
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras - (Des.Manoel Carlos  da Costa Leite)
6541,4ª RAJ Campinas,Araras,Araras,1,Forum Araras II - ANEXO FISCAL
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras III (CEJUSC na Universidade de Araras - UNAR)
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras IV (CEJUSC)
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras V - (Anexo da Violência Doméstica)
6531,9ª RAJ São José dos Campos,Aparecida,Aparecida,1,Fórum Aparecida
6535,2ª RAJ Araçatuba,Araçatuba,Araçatuba,1,Fórum Araçatuba I - PRINCIPAL
6535,2ª RAJ Araçatuba,Araçatuba,Araçatuba,1,Forum Araçatuba V - Serviço de Atendimento Psicossocial
6537,6ª RAJ Ribeirão Preto,Aramina,Igarapava,0,"Fórum ""David Pimentel"""
6560,10ª RAJ Sorocaba,Barão de Antonina,Itaporanga,0,Fórum Itaporanga- DESEMBARGADOR PLÍNIO DE CARVALHO PINTO
6538,3ª RAJ Bauru,Arandu,Avaré,0,Fórum Avaré - I
6538,3ª RAJ Bauru,Arandu,Avaré,0,Fórum Avaré - II (CEJUSC)
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru - UPJ 1ª E 2ª VARAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHE
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru I - (Principal)
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru II - Fazenda Pública e Família e Sucessões
