id_imovel,imovel,telefone,fax,email,cj,num_varas_instaladas,entrancia,comarca_tjsp,dist_capital,tensao_eletrica,endereco_lougradouro,endereco_cep,endereco_municipio,endereco_uf
1,Fórum I Adamantina,(18) 2106-1718,Não Informado,adamantinaadm@tjsp.jus.br,Tupã,3,Entrância Inicial,Adamantina,500.26,110V,"Avenida Ademar de Barros , 133 - Centro",17800-000,Adamantina,SP
2,Comarca de Aguaí,Não Informado,Não Informado,aguaiadm@tjsp.jus.br,São João da Boa Vista,1,Entrância Inicial,Aguaí,169.25,110V,"Rua Joaquim Paula Cruz , 900 - Jd. Sta. Úrsula",13863-044,Aguaí,SP
3,Fórum Águas de Lindóia,(19) 2154-5204,Não Informado,aguaslindoiaadm@tjsp.jus.br,Amparo,1,Entrância Inicial,Águas de Lindóia,119.2,110V,"Rua Francisco Spartani , 66 - Jd. Le Villete",13940-000,Águas de Lindóia,SP
4,"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS""",(14) 2151-5455,Não Informado,agudosadm@tjsp.jus.br,Bauru,2,Entrância Inicial,Agudos,268.95,110V,"Rua Paulo Nelli , 276 - Vila Andreotti",17120-370,Agudos,SP
5,"Fórum ""Desembargador ALFREDO FANUCCHI NETO""",(16) 3665-2211,Não Informado,altinopadm@tjsp.jus.br,Batatais,1,Entrância Inicial,Altinópolis,290.52,110V,"Avenida Doutor Alberto Crivelenti , 555 - Centro",14350-005,Altinópolis,SP
6,Fórum Americana,Não Informado,(19) 3309-2515,americanaadm@tjsp.jus.br,Americana,10,Entrância Final,Americana,114.63,110V,"Avenida Brasil Sul , 2669 - Parque Res. Nardini",13468-390,Americana,SP
7,Fórum Américo Brasiliense,(16) 2109-1420,Não Informado,americoadm@tjsp.jus.br,Araraquara,3,Entrância Inicial,Américo Brasiliense,252.51,110V,"Rua D. Pedro II , 65 - Centro",14820-000,Américo Brasiliense,SP
8,Fórum Dr. Laudo Ferreira de Camargo,(19) 3938-6005,Não Informado,amparoadm@tjsp.jus.br,Amparo,2,Entrância Final,Amparo,95.08,220V,"Praça Tenente José Ferraz de Oliveira , 55 - Centro",13900-900,Amparo,SP
9,Fórum Andradina I (Homero Rodrigues Silva),(18) 2122-2358,(18) 98169-5471,andradinaadm@tjsp.jus.br,Andradina,5,Entrância Final,Andradina,570.27,110V,"Rua Paes Leme , 2052 - Stella Maris",16901-907,Andradina,SP
10,Fórum I Angatuba,(15) 3255-9805,Não Informado,angatubaadm@tjsp.jus.br,Itapetininga,1,Entrância Inicial,Angatuba,181.28,110V,"Rua Públio de Almeida Melo , 832 - Centro",18240-000,Angatuba,SP
11,Fórum Aparecida,(12) 3311-9355,Não Informado,aparecidaadm@tjsp.jus.br,Guaratinguetá,2,Entrância Inicial,Aparecida,163.47,110V,"Avenida Padroeira do Brasil , 180 - São Roque",12573-276,Aparecida,SP
12,Fórum Araçatuba I - PRINCIPAL,(18) 2102-9548,Não Informado,aracatubaadm@tjsp.jus.br,Araçatuba,16,Entrância Final,Araçatuba,469.04,110V,"Praça Doutor Maurício Martins Leite , 60 - Vila São Paulo",16015-600,Araçatuba,SP
13,Fórum Juiz Macedo Couto,(16) 2108-1167,Não Informado,araraquaraadm@tjsp.jus.br,Araraquara,14,Entrância Final,Araraquara,250.99,110V,"Rua dos Libaneses , 1998 - Carmo",14801-425,Araraquara,SP
14,Fórum Araras - (Des.Manoel Carlos  da Costa Leite),(19) 3321-2358,(19) 3321-2358,ararasadm@tjsp.jus.br,Limeira,5,Entrância Intermediária,Araras,152.98,220V,"Avenida Antônio Prudente , 322 - Jd. Universitário",13607-335,Araras,SP
15,Fórum Fernando de Albuquerque Prado,(11) 2833-8651,(11) 2192-2805,Não Informado,Guarulhos,2,Entrância Intermediária,Arujá,36.3,110V,"Rua Albino Rodrigues Neves , 585 - Center Ville",07401-125,Arujá,SP
16,Fórum Assis I - Dr. José Claudino de Oliveira Dias,(18) 3402-1585,Não Informado,assisadm@tjsp.jus.br,Assis,7,Entrância Final,Assis,398.53,220V,"Rua Doutor Lício Brandão de Camargo , 50 - Vila Clementina",19802-300,Assis,SP
17,"Fórum ""Dr. Álvaro Correia Lima""",(11) 3402-5532,Não Informado,atibaiaadm@tjsp.jus.br,Bragança Paulista,9,Entrância Final,Atibaia,48.72,110V,"Rua Doutor José Roberto Paim , 99 - Parque dos Coqueiros",12945-007,Atibaia,SP
18,Fórum Auriflama - (Ministro Domingos Franciulli Neto),(17) 3482-8301,Não Informado,auriflamaadm@tjsp.jus.br,Jales,1,Entrância Inicial,Auriflama,513.98,110V,"Rua Osório Messias de Almeida , 47-35 - Cachopa",15351-112,Auriflama,SP
19,Fórum Avaré - I,(14) 2122-5605,Não Informado,avareadm@tjsp.jus.br,Avaré,4,Entrância Final,Avaré,239.08,220V,"Rua: ABILIO GARCIA , 527 - Vila Jussara Maria",18706-040,Avaré,SP
20,DR JOSÉ RANGEL DE ALMEIDA,(12) 2138-5452,Não Informado,bananaladm@tjsp.jus.br,Guaratinguetá,1,Entrância Inicial,Bananal,255.29,110V,"Praça Rubião Jr. 305 , 305 - Centro",12850-000,Bananal,SP
21,"FORUM ""DR. JOAQUIM FERNANDO PAES DE BARROS NETTO""",(14) 3663-9405,Não Informado,baririadm@tjsp.jus.br,Jaú,1,Entrância Inicial,Bariri,270.85,110V,"Avenida Claudionor Barbieri nº 488 ,  - Centro",17250-027,Bariri,SP
